Subject;Predicate;Object
History of the wars;dcterms:source;<https://archive.org/details/procopius0001proc/page/n5/mode/2up>
History of the wars;dcterms:type;“book”
History of the wars;dcterms:creator;ex:Procopius
History of the wars;dcterms:title ;“History of the wars”
History of the wars;dcterms:publisher;“Cambridge : Harvard Univ. Press”
History of the wars;dcterms:issued;"""1914""^^xsd:gYear "
History of the wars;dcterms:identifier;“procopius0001proc”
History of the wars;dcterms:identifier;“1256733539”
History of the wars;dcterms:subject;“Justinian”
