Subject,Predicate,Object
sits:item_movie,schema:url,<https://www.imdb.com/title/tt0047567/>
sits:item_movie,skos:altLabel,Theodora
sits:item_movie,schema:datePublished,1954
sits:item_movie,rdf:type,dbo:Film
sits:item_movie,schema:director,wd:Q750983
sits:item_movie,schema:countryOfOrigin,sits:country_Italy
sits:item_movie,schema:inLanguage,sits:language_Italian
sits:item_movie,schema:about,sits:person_Theodora
sits:item_movie,schema:genre,wd:Q6632795
sits:item_movie,schema:actor,wd:Q33993
