Subject,Predicate,Object
sits:item_diptych,dcterms:source,<https://collections.louvre.fr/ark:/53355/cl010114082>
sits:item_diptych,dcterms:title,Feuillet de diptyque en cinq parties : l'Empereur triomphant (Justinien ?@fr
sits:item_diptych,dcterms:medium,aat:300011829
sits:item_diptych,dcterms:created,"""0525/0550"""
sits:item_diptych,dcterms:type,aat:300033991
sits:item_diptych,crm:P55_has_current_location,wd:Q19675
sits:item_diptych,crm:P43_has_dimension ,"""29.8 x 26.6 cm"""
sits:item_diptych,dcterms:subject,sits:person_Justinian_I
sits:item_diptych,schema:locationCreated,wd:Q16869
