Subject,Predicate,Object
CIV,has genre,4X Turn-Based Strategy
CIV,first released in,1991
CIV,created by,Sid Meier
CIV,developed by,Firaxis Games
CIV,published by,2K Games
CIV,latest main installment,Civilization VII
CIV,latest release date,"February 11, 2025"
CIV,has defining feature,"Ages (Antiquity, Exploration, Modern)"
CIV,has victory condition,Economic
CIV,features leader,Justinian
