Subject,Predicate,Object
Hagia Sophia,has type,Grand Mosque
Hagia Sophia,also known as,Ayasofya-i Kebir Cami-i Şerifi
Hagia Sophia,construction period,532 - 537 AD
Hagia Sophia,commissioned by,Justinian I
Hagia Sophia,designed by,Anthemius of Tralles and Isidore of Miletus
Hagia Sophia,architectural style,Byzantine
Hagia Sophia,original function,Eastern Orthodox cathedral
Hagia Sophia,has function,Mosque (as of 2020)
Hagia Sophia,previous function,Museum (1935-2020)
Hagia Sophia,located in,Turkey
